,Unnamed: 0,Name,Price,Comments,Country,Store,price
48,48,ETUDE HOUSE 伊蒂之屋 Play 101 高光修容阴影两用棒  1.7克,¥69,4509,韩国,网易考拉自营,69.0
49,49,Dior 迪奥 粉漾魅惑变色润唇膏 04#橘色 3.5克,¥198,5918,法国,网易考拉自营,198.0
50,50,【玫瑰豆沙色407/迪奥999平价版415】KIKO MILANO 新版丰盈滋养口红 3克,¥56,6651,意大利,网易考拉自营,56.0
51,51,Za 姬芮 新能真皙美白隔离霜 35克 SPF26+ 美白隔离,¥68,6726,日本,网易考拉自营,68.0
52,52,THEFACESHOP 菲诗小铺 丝柔双色眉粉 灰棕色 带眉刷 4克 小白必备,¥48,6257,韩国,网易考拉自营,48.0
53,53,SOFINA 苏菲娜 Primavista Ange水润瓷效妆前隔离乳SPF15 PA++ 25克,¥99,5547,日本,网易考拉自营,99.0
54,54,【双11预售】ESTĒE LAUDER 雅诗兰黛 持妆粉底液 30毫升,¥259,5540,美国,网易考拉自营,259.0
55,55,REVLON 露华浓 不脱色粉底液 #150 中性干性肌肤适用 30毫升,¥75,4977,美国,网易考拉自营,75.0
56,56,REAL TECHNIQUES 美妆蛋 葫芦棉化妆蛋粉扑 2个装,¥75,4856,美国,网易考拉自营,75.0
57,57,MISSHA 谜尚4D斯黛尔卷翘睫毛膏 7克,¥39,4595,韩国,网易考拉自营,39.0
58,58,SHISEIDO 资生堂 131斜平头粉底刷（含皮套）,¥105,6687,日本,网易考拉自营,105.0
59,59,玛丽黛佳 自然生动眉笔（1+1组合）防水防汗不容易脱色眉粉刷持久一字眉雾眉初学者正品,¥42,5531,中国,玛丽黛佳旗舰店,42.0
60,60,MAXFACTOR 蜜丝佛陀 水漾触感粉底霜 象牙色 11.5克,¥69,6639,美国,网易考拉自营,69.0
61,61,【11.11限量赠清洗剂】考拉工厂店 化妆刷精致妆容套刷10支装,¥189,4452,中国,网易考拉自营,189.0
62,62,DHC 蝶翠诗 睫毛增长滋养液 6.5毫升 浓密纤长,¥75,11533,日本,网易考拉自营,75.0
63,63,【韩式光泽裸妆】It'S SKIN 伊思 活肤逆时空晶钻红参蜗牛BB霜 50毫升,¥82,6068,韩国,网易考拉自营,82.0
64,64,REVLON 露华浓 不脱色粉底液 #110 油性混合型肌肤适用 30毫升,¥75,4628,美国,网易考拉自营,75.0
65,65,【11.11前两小时278】GUCCI 古驰 罪爱女士淡香水 50毫升,¥328,7432,意大利,网易考拉自营,328.0
66,66,【11.11同价 纯棉不掉絮】LilyBell丽丽贝尔三层纯棉化妆棉222片/包 3包装,¥37.9,4823,中国,LilyBell丽丽贝尔旗舰店,37.9
67,67,【精华含量再升级】AGE20`s 爱纪二十之 爱敬 精华粉底 气垫BB霜,¥185,7195,韩国,网易考拉自营,185.0
68,68,2件装 | 【控油持妆不打烊】SOFINA 苏菲娜 Primavista Ange控油瓷,¥159,31520,日本,网易考拉自营,159.0
69,69,Sulwhasoo雪花秀 致美养肤气垫 15克+15克替换装,¥285,5528,韩国,网易考拉自营,285.0
70,70,SHISEIDO 资生堂 眉墨铅笔 眉笔黑色 1.2克,¥29.9,4561,日本,网易考拉自营,29.9
71,71,【11.11到手价98】【买一得二】HOLA赫拉水润遮瑕气垫BB粉凝霜 轻薄服帖,¥130,5269,澳大利亚,HOLA旗舰店,130.0
72,72,MAXFACTOR 蜜丝佛陀 三合一防晒粉底液 玉瓷色 30毫升,¥59,4912,美国,网易考拉自营,59.0
73,73,【11.11前2小时135元】VDL 细致毛孔保湿提亮妆前乳 贝壳提亮液 30毫升/瓶 2瓶装,¥149,27650,韩国,网易考拉自营,149.0
74,74,Bourjois 妙巴黎 果然美肌粉底液 新版本  30毫升,¥65,4395,法国,网易考拉自营,65.0
75,75,CLUB 出浴素颜保湿蜜粉饼 白色花香 26克,¥99,5134,日本,网易考拉自营,99.0
76,76,CPB 肌肤之钥 隔离 妆前乳遮瑕保湿 （滋润型/清爽型/透白型）,¥377,8231,日本,网易考拉自营,377.0
77,77,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 24小时持妆粉底液 25毫升/瓶,¥59,3938,泰国,网易考拉自营,59.0
78,78,【魏璎珞同款色号】MAC 魅可 时尚唇膏 3克,¥135,8321,美国,网易考拉自营,135.0
79,79,LAURA MERCIER 罗拉玛斯亚 柔光透明蜜粉 29克,¥259,3780,美国,网易考拉自营,259.0
80,80,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 4D防水不晕染浓密纤长睫毛膏 5.5克/支,¥49.5,3535,泰国,网易考拉自营,49.5
81,81,Daiso 大创 纤细型双眼皮贴 86枚/袋,¥29,3028,日本,网易考拉自营,29.0
82,82,【双11前2小时第2件半价】【Mike代言】Mistine 蜜丝婷 12色大地珠光眼影盘 9克,¥65,3191,泰国,网易考拉自营,65.0
83,83,【11.11前两小时298】BVLGARI 宝格丽 碧蓝男士淡香水 100毫升 欢乐的气味,¥378,5814,意大利,网易考拉自营,378.0
84,84,3CE 情调配方系列雾面口红/唇膏 3.5克/支,¥98,4579,韩国,网易考拉自营,98.0
85,85,CANMAKE 井田 棉花糖柔美颜控油保湿蜜粉饼10克,¥72,18521,日本,网易考拉自营,72.0
